person;trip_number;trip_id;dep_time;trav_time;wait_time;traveled_distance;euclidean_distance;main_mode;longest_distance_mode;modes;start_activity_type;end_activity_type;start_facility_id;start_link;start_x;start_y;end_facility_id;end_link;end_x;end_y;first_pt_boarding_stop;last_pt_egress_stop
86;1;86_1;06:00:00;00:18:41;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
86;2;86_2;06:48:41;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
87;1;87_1;06:00:00;00:18:31;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
87;2;87_2;06:48:31;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
88;1;88_1;06:00:00;00:16:54;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
88;2;88_2;06:46:54;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
89;1;89_1;06:00:00;00:18:20;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
89;2;89_2;06:48:20;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
90;1;90_1;06:00:00;00:18:09;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
90;2;90_2;06:48:09;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
91;1;91_1;06:00:00;00:17:58;00:00:00;25000;35000;freight_n;freight_n;freight_n;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
91;2;91_2;06:47:58;00:43:24;00:00:00;65000;35000;freight_n;freight_n;freight_n;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
92;1;92_1;06:00:00;00:17:47;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
